#,WCAid,Nome,Competizioni
1,2017DUMM01,Matteo Dummar,7
2,2012CANT02,Simone Cantarelli,5
3,2009PROV01,Matteo Provasi,3
4,2009ROTA01,Marco Rota,2
,2019MORT02,Alessio Mortillaro,2
,2021MORR02,Victor Morreale,2
7,2012NICO02,Alessandro Nicolì,1
,2014BORG02,Federico Borgogni,1
,2014RAPO01,Tommaso Raposio,1
,2016GAMM01,Vincenzo Maria Gammino,1
,2018LOCA01,Valerio Locatelli,1
,2018SCAL03,Piernicola Scalzi,1
,2019ASAR01,Fabio Asaro,1
,2020MARC01,Simone Marcellini,1
,2021BARO01,Matteo Barone,1
,2021GIAC01,Hashmi Antonio Di Giacomo,1
,2021LACK01,Marco Lackovic,1
,2021LAZZ01,Andrea Lazzarin,1
,2021MAGE01,Alessandro Magenis,1
,2021MARI04,Paolo Marino,1
,2021MISI01,Leone Misitano,1
,2021OTTA01,Lorenzo Ottaviani,1
,2021SOMI01,Claudio Somigliana,1
