#,WCAid,Nome,Competizioni
1,2017DUMM01,Matteo Dummar,9
2,2011TRON02,Sebastiano Tronto,8
3,2019ASAR01,Fabio Asaro,6
4,2007POLI01,Lorenzo Vigani Poli,5
,2012CANT02,Simone Cantarelli,5
,2014PRES01,Manel Prestieri,5
7,2014RAPO01,Tommaso Raposio,4
,2016BROW06,Edoardo Brown,4
,2018CUCI02,Matteo Cucinotta,4
10,2009CONT01,Giovanni Contardi,3
,2009PROV01,Matteo Provasi,3
,2012NICO02,Alessandro Nicolì,3
,2017ODOR01,Francesco Odorizzi,3
,2019STRA01,Sami Stracquadanio,3
15,2009BOSI01,Isabella Bosia,2
,2009IOVA01,Massimiliano Iovane,2
,2009ROTA01,Marco Rota,2
,2009SANT01,Simone Santarsiero,2
,2012CAPP01,Gabriele Cappelletti,2
,2013FURL01,Mattia Furlan,2
,2015PERU02,Vittorio Maria Perucatti,2
,2016IEZZ01,Francesco Iezzi,2
,2016PAPP02,Giuseppe Pappalardo,2
,2017FOKI01,Alexandros Fokianos,2
,2017GUID01,Carolina Guidetti,2
,2017MAGN01,Lorenzo Magnarin,2
,2018BROW04,Vittorio Brown,2
,2018EBNE02,Elias Walter Ebner,2
,2019FEDE03,Ines Federspieler,2
,2019FEDE04,Ivan Federspieler,2
,2019LUTS04,Ishwara Leonardo Karim Lutsenko,2
,2019MASI02,Sofia Masini,2
,2019NIER01,Francesco Nieri,2
34,2009COLO03,Matteo Colombo,1
,2009MORI05,Paolo Moriello,1
,2009VIGA02,Pietro Vigani,1
,2010BART01,Paolo Bartolucci,1
,2011CECC01,Miriana Cecchi,1
,2011ZORZ01,Stefano Zorzi,1
,2013GALL03,Julian Galliano,1
,2014BORG02,Federico Borgogni,1
,2016GAMM01,Vincenzo Maria Gammino,1
,2016GASP01,Pietro Gasparetto,1
,2016PICC02,Francesco Piccione,1
,2017BEZZ01,Giovanni Bezzetto,1
,2017BRAS01,Luca Brasini,1
,2017GAIO01,Giovanni Gaio,1
,2017GENT01,Lorenzo Gentili,1
,2017PELI01,Edoardo Pelini,1
,2018ALOM01,Jean Alfred Gargano Alomia,1
,2018ARNE04,Davide Arnesano,1
,2018CALA03,Fabio Calamati,1
,2018FORL01,Nicola Forlai,1
,2018GUGL01,Lorenzo Guglielmi,1
,2018MAGG01,Valerio Maggi,1
,2018PALO03,Gianluca Palo,1
,2018PERI05,Pietro Peri,1
,2018RAND05,Leonardo Randacio,1
,2018RAUS02,Simone Rauso,1
,2018RICC02,Alessandro Ricci,1
,2018SACC01,Lapo Saccardi,1
,2018SAGG01,Enrico Saggiorato,1
,2018TOLO01,Raffaele Tolomelli,1
,2019BEDI02,Benedetta Bedini,1
,2019CAPP02,Sara Cappelli,1
,2019CARC01,Alessandro Carconi,1
,2019CARD06,Giordano Cardellini,1
,2019CAST20,Lorenzo Castorri,1
,2019COPP02,Elia Nicola Coppola,1
,2019CUSU01,Christopher Cusumano,1
,2019ESPO01,Ezio Esposito,1
,2019FABR02,Anna Fabris,1
,2019GAMM03,Stefano Gammelli,1
,2019GIAQ01,Ara Giaquinto,1
,2019GRUB03,Anna Gruber,1
,2019GRUB04,Christian Gruber,1
,2019LIZZ01,Simone Lizzo,1
,2019MAST05,Giacomo Mastrosimone,1
,2019MAZZ01,Nicola Mazza,1
,2019MAZZ02,Pietro Mazza,1
,2019MCMA02,Lorenzo McMahon,1
,2019MIOD01,Matteo Miodini,1
,2019NOSE01,Francesco Noseda,1
,2019PLAC01,Nicola Placuzzi,1
,2019TARQ01,Lio Tarquino,1
,2019ZASH01,Filip Zashev,1
