#,WCAid,Nome,Competizioni
1,2016GAMM01,Vincenzo Maria Gammino,57
2,2009PROV01,Matteo Provasi,31
3,2012CANT02,Simone Cantarelli,18
,2019CRIP01,Jordan Crippa,18
5,2021MARC03,Chiara Marcucci,15
6,2014PRES01,Manel Prestieri,12
7,2011TRON02,Sebastiano Tronto,11
8,2022CHIA11,Giosuele Chiarella,10
,2022ROSS02,Fabio Rossi,10
10,2008SIMO02,Nicolò Simone,9
,2017DUMM01,Matteo Dummar,9
,2022CHIA12,Ismaele Chiarella,9
13,2020TOMA01,Fabian Tomasović,8
,2022BOLD01,Loris Boldi,8
,2023PICH01,Maximilian Pichler,8
,2024SASS01,Tiago Sassone,8
17,2012ACHA01,Carlos Pedro Casado de Achával,7
,2021MARI04,Paolo Marino,7
,2024RICC01,Riccardo Fiumefreddo,7
20,2014BACC01,Gabriele Bacchieri,6
,2019SART01,Daniel Sartori,6
,2023FORC02,Vincenzo Forchi,6
23,2024GIUN01,Leonardo Giuntini,5
,2024JANS02,Tobi Janssen,5
25,2014RAPO01,Tommaso Raposio,4
,2017FOKI01,Alexandros Fokianos,4
,2024GUAR03,Nicolas Guarini,4
28,2012CAPP01,Gabriele Cappelletti,3
,2014MAUR06,Lorenzo Mauro,3
,2015PERU02,Vittorio Maria Perucatti,3
,2016BROW06,Edoardo Brown,3
,2017GUID01,Carolina Guidetti,3
,2018ARNE04,Davide Arnesano,3
,2022FRAT01,Simone Dalle Fratte,3
,2022MACC01,Evan Maccagnan,3
,2022RIPO01,Riccardo Ripoldi,3
,2023BALM03,Abril Balmaceda,3
,2023BUSC02,Lorenzo Calogero Buscemi,3
,2023CLEM03,Filippo Clementi,3
,2023ERRA01,Edoardo Erra,3
,2023POLI03,Riccardo Polignano,3
,2023TOMA07,William Oliver Tomasello,3
,2023ZUCC01,Ludovico Zuccotto,3
,2024BAST03,Mattia Bastan,3
,2024JANS05,Sara Janssen,3
,2024LERM02,Davi Lermann,3
,2024MONT07,Leo Montanari,3
,2024PEZZ01,Leonardo Pezza,3
,2024RICH22,Lorenzo Richetta,3
50,2016RACI03,Riccardo Raciti,2
,2017BRAS01,Luca Brasini,2
,2018LOCA01,Valerio Locatelli,2
,2018PERE31,Mattia Perego,2
,2018RICC02,Alessandro Ricci,2
,2018SCAL03,Piernicola Scalzi,2
,2019ASAR01,Fabio Asaro,2
,2019RIGO01,Mattia Rigo,2
,2019VALL10,Tea Raimondi Vallesi,2
,2021CALZ01,Alessandro Calzoni,2
,2021PAND01,Alessio Pandin,2
,2021PARO01,Matteo Parodi,2
,2022CAMP13,Pietro Campagnola,2
,2022CECC01,Christian Ceccaroni,2
,2022MANT03,Alberto Mantovani,2
,2022POZZ01,Alessio Pozzoli,2
,2022QUAR01,Olmo Quarantini,2
,2022RANN01,Rocco Rannisi,2
,2022SEER01,Nivethan Seeralan,2
,2022TOMA02,Ugo Numa Tomat,2
,2022UBBI01,Mattia Ubbiali,2
,2023BEDO03,Enrico Bedocchi,2
,2023FORL01,Paolo Forlivesi,2
,2023MIGN01,Francesco Mignolo,2
,2023MORE08,Dario Francesco Moretti,2
,2023PIAZ01,Domenico Piazza,2
,2023SART03,Diego Sartori,2
,2023SKOU03,Alexandros Skoufas,2
,2023SKOU04,Georgios Skoufas,2
,2023VALL04,Stefano Della Valle,2
,2024CIBE01,Matteo Cibene,2
,2024LEVI07,Asher Marco Levi,2
,2024MART26,Matteo De Martin,2
83,2009ROTA01,Marco Rota,1
,2013GALL03,Julian Galliano,1
,2014FIOR01,Riccardo Fiore,1
,2015FAVA01,Alessandro Fava,1
,2016CANC03,Samuele Cancemi,1
,2016GASP01,Pietro Gasparetto,1
,2016SPRI01,Israel Springer,1
,2017LAMO01,Emanuele Lamon,1
,2017TENU01,Enrico Tenuti,1
,2018CANO06,Simone Canova,1
,2018CENT02,Giovanni Centili,1
,2018RIMI01,Flavio Rimi,1
,2019AMAT01,Giacomo Amati,1
,2019CORO04,Giacomo Daniele Corò,1
,2019GIOR02,Marco Giordano,1
,2019MAZZ01,Nicola Mazza,1
,2019MAZZ02,Pietro Mazza,1
,2019SCAL01,Giandomenico Scalzi,1
,2020GUAR01,Marco Guarasci,1
,2020PANG02,Josuè Pangrazzi,1
,2020ZAGO01,Mattia Zago,1
,2021GASP01,Elisa Gasperotti,1
,2021MAGE01,Alessandro Magenis,1
,2021NARB01,Dario Angelo Narbone,1
,2021ZANG01,Alessandro Zangolini,1
,2022BONF01,Salvatore Bonfiglio,1
,2022CASE04,Chiara Scalera Caserza,1
,2022CERR01,Luca Cerrato,1
,2022CHIA04,Luca Chiandotto,1
,2022CHIA13,Federico Chiarello,1
,2022COMI01,Luigi Francia Comi,1
,2022CONS01,Nicola Consorti,1
,2022COPP03,Vincenzo Coppola,1
,2022CORB03,Leonardo Corbelli,1
,2022CORO02,Francesco Montagna Coronado,1
,2022CORO03,Giovanni Montagna Coronado,1
,2022DUOF01,Federica Duò,1
,2022FIOR04,Francesco Fiore,1
,2022FORT01,Mongol Forti,1
,2022GRAV05,Carmela Gravano,1
,2022MAGN02,Edoardo Magno,1
,2022MAIS01,Giovanni Maistrello,1
,2022MANZ01,Levi Manzoni,1
,2022MARI21,Eren Alessio Marino,1
,2022MAUR04,Federico Mauro,1
,2022MENE01,Lorenzo Meneguz,1
,2022PISC01,Giovanni Pische,1
,2022ROTA01,Francesco Rotasperti,1
,2022SCHI01,Giacomo Schiava,1
,2022TALA03,Valentina Trinca Talalin,1
,2022UBBI02,Pier Ubbiali,1
,2022VIBE01,Damiano Viberti,1
,2022ZANC01,Nicola Zancanella,1
,2023AVER04,Manuel Aversano,1
,2023BALD06,Federico Baldo,1
,2023BAUM04,Ethan Ian Baumann,1
,2023BEZA01,Fabio Bezante,1
