#,WCAid,Nome,Competizioni
1,2019CRIP01,Jordan Crippa,24
2,2011TRON02,Sebastiano Tronto,12
,2012CANT02,Simone Cantarelli,12
4,2017DUMM01,Matteo Dummar,11
5,2022ROSS02,Fabio Rossi,10
6,2009PROV01,Matteo Provasi,8
,2016GAMM01,Vincenzo Maria Gammino,8
,2021MARI04,Paolo Marino,8
9,2014PRES01,Manel Prestieri,6
,2021MARC03,Chiara Marcucci,6
11,2019SART01,Daniel Sartori,5
,2020TOMA01,Fabian Tomasović,5
,2022COMI01,Luigi Francia Comi,5
,2023PICH01,Maximilian Pichler,5
15,2008SIMO02,Nicolò Simone,4
,2012CAPP01,Gabriele Cappelletti,4
,2017GUID01,Carolina Guidetti,4
,2022QUAR01,Olmo Quarantini,4
19,2015FAVA01,Alessandro Fava,3
,2020GUAR01,Marco Guarasci,3
,2021CALZ01,Alessandro Calzoni,3
,2022BOLD01,Loris Boldi,3
,2022FRAT01,Simone Dalle Fratte,3
,2023POLS01,Elizabeth Polsinelli,3
,2023REGI02,Michelangelo Regis,3
26,2009ROTA01,Marco Rota,2
,2009SANT01,Simone Santarsiero,2
,2013GALL03,Julian Galliano,2
,2014RAPO01,Tommaso Raposio,2
,2016PICC02,Francesco Piccione,2
,2017TOMA09,Kevin Tomasoni,2
,2019CORO04,Giacomo Daniele Corò,2
,2019GIOR02,Marco Giordano,2
,2019PAOL02,Federico De Paoli,2
,2021LAZZ01,Andrea Lazzarin,2
,2022ALVO01,Leonardo Alvoid-Zanardi,2
,2022CECC01,Christian Ceccaroni,2
,2022CERR01,Luca Cerrato,2
,2022FARI06,Francesco Abel Farina,2
,2022FARI07,Giulio Nandor Farina,2
,2022MACC01,Evan Maccagnan,2
,2022MAUR08,Mattia Mauro,2
,2022NODA01,Mattia Nodari,2
,2022POZZ01,Alessio Pozzoli,2
,2022RIPO01,Riccardo Ripoldi,2
,2022TALA03,Valentina Trinca Talalin,2
,2022VILL27,Pietro Villa,2
,2023BALD06,Federico Baldo,2
,2023BAUM04,Ethan Ian Baumann,2
,2023CLEM03,Filippo Clementi,2
,2023COST01,Francesco Costa,2
,2023ERRA01,Edoardo Erra,2
,2023GADO01,Ruairidh Valentino Gadotti,2
,2023MIGN01,Francesco Mignolo,2
,2023MORE08,Dario Francesco Moretti,2
,2023ZUCC01,Ludovico Zuccotto,2
57,2009BOSI01,Isabella Bosia,1
,2009COLO03,Matteo Colombo,1
,2012NICO02,Alessandro Nicolì,1
,2014BACC01,Gabriele Bacchieri,1
,2016PAOL01,Damiano Di Paola,1
,2017BRAS01,Luca Brasini,1
,2017DURB02,Luca D'Urbano,1
,2017TENU01,Enrico Tenuti,1
,2018ARNE04,Davide Arnesano,1
,2018PEAL01,Alessandro Pe,1
,2018RAND05,Leonardo Randacio,1
,2018REST04,Paolo Resta,1
,2018REZE03,João Pedro Antonucci Rezende,1
