#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,26
2,2012CANT02,Simone Cantarelli,22
3,2019SART01,Daniel Sartori,19
4,2009ROTA01,Marco Rota,18
5,2021MARC03,Chiara Marcucci,17
6,2021GASP01,Elisa Gasperotti,16
,2021SALE01,Sofia Saletnich,16
,2023EMIL02,Matteo Emiliani,16
9,2020TOMA01,Fabian Tomasović,15
10,2021MARI04,Paolo Marino,14
11,2021ZANG01,Alessandro Zangolini,13
,2022CORB03,Leonardo Corbelli,13
,2022LESC02,Sebastiano Leschiutta,13
,2022MANT03,Alberto Mantovani,13
15,2014BACC01,Gabriele Bacchieri,12
,2016GAMM01,Vincenzo Maria Gammino,12
,2022TALA03,Valentina Trinca Talalin,12
18,2019CORO04,Giacomo Daniele Corò,11
,2023CARO07,Leonardo Carosio,11
20,2012NICO02,Alessandro Nicolì,10
,2013TRAM03,Giovanni Tramontano,10
,2016GASP01,Pietro Gasparetto,10
,2018LOCA01,Valerio Locatelli,10
,2021NOVI01,Alessia Novizio,10
,2022FRAT01,Simone Dalle Fratte,10
,2023CREA02,Christian Crea,10
27,2012CAPP01,Gabriele Cappelletti,9
,2012PLAC01,Gianluca Placenti,9
,2014MAUR06,Lorenzo Mauro,9
,2018RIMI01,Flavio Rimi,9
,2021CALZ01,Alessandro Calzoni,9
,2021PAND01,Alessio Pandin,9
,2022GRAV05,Carmela Gravano,9
,2022MACC01,Evan Maccagnan,9
,2022MART13,Valerio Martinelli,9
,2022PRET04,Federico Preti,9
,2022RIPO01,Riccardo Ripoldi,9
,2023BARB17,Nicolò Barbisan,9
,2023POLI03,Riccardo Polignano,9
,2023SALA29,Alessandro Sala,9
,2023TODO04,Elio Todoverto,9
42,2014RAPO01,Tommaso Raposio,8
,2016RACI03,Riccardo Raciti,8
,2022CERR01,Luca Cerrato,8
,2022CHIA11,Giosuele Chiarella,8
,2022CHIA12,Ismaele Chiarella,8
,2023DANT01,Michel D'Antoni,8
,2023PASS02,Alessio Passerini,8
,2024CERR01,Enrico Cerrato,8
50,2011ANNE01,Edoardo Annesi,7
,2018SCAL02,Claudio Fabrizio Scalia,7
,2019RIGO01,Mattia Rigo,7
,2019VALL10,Tea Raimondi Vallesi,7
,2021ITAL02,Manfredi Italiano,7
,2022COSI01,Paolo Cosimi,7
,2022COSI02,Flavio Cosimi,7
,2022PISC01,Giovanni Pische,7
,2022RANN01,Rocco Rannisi,7
,2023BARB07,Riccardo Barbiero,7
,2023BUSC02,Lorenzo Calogero Buscemi,7
,2023MOLI09,Simone Molinari,7
,2023TRAN20,Flavio Tranquilli,7
,2024GESS02,Francesco Leonardo Gessi,7
,2024PERD01,Alessia Perdichizzi,7
,2024SANT88,Leonardo Santrayll,7
,2024TODO02,Lisa Todoverto,7
67,2016PAOL01,Damiano Di Paola,6
,2017BRAS01,Luca Brasini,6
,2017TENU01,Enrico Tenuti,6
,2022CHIA13,Federico Chiarello,6
,2022CORO03,Giovanni Montagna Coronado,6
,2022DUOF01,Federica Duò,6
,2022FIOR04,Francesco Fiore,6
,2022PALM02,Francesco Palma,6
,2022SOZI01,Carolina Sozio,6
,2023PISC02,Giovanni Piscitelli,6
,2023SANN03,Lorenzo Sannibale,6
,2024BELL11,Stefano Bellizzi,6
,2024COSI01,Enrico Cosimi,6
,2024GORI02,Pietro Gori,6
,2024PADO01,Federico Padovani,6
,2024SCAC01,Simona Scacchi,6
,2024VALD13,Jack Valduga,6
,2025BASE02,Tommaso Baseggio,6
,2025GORI02,Maria Michela Gori,6
86,2017BARI03,Silvia Boscolo Bariga,5
,2018RADD02,Valerio Alfano Raddavi,5
,2021GALI02,Carlo Galimberti,5
,2021PARO01,Matteo Parodi,5
,2022BALD01,Leonardo Baldo,5
,2022LODA01,Nicolo David Lodato,5
,2022RIBE02,Vittorio Ribechini,5
,2023AMAT01,Alessandro Amato,5
,2023BALD11,Zeno Baldasseroni,5
,2023BART19,Andrea Bartolacci,5
,2023BEDO03,Enrico Bedocchi,5
,2023FEDE01,Federico Crestani,5
,2023GHEZ01,Leonardo Ghezzi,5
,2023PROV04,Riccardo Provenzani,5
,2023RANN01,Luca Rannisi,5
,2024CARD23,Filippo Vittorio Cardinali,5
,2024CITT01,Riccardo Citton,5
,2024CONT17,Matteo Conti,5
,2024PADO02,Maicol Padovani,5
,2024PALA13,Benedetto Palazzo,5
,2024RICC01,Riccardo Fiumefreddo,5
,2024SIME01,Antonello Simeone,5
,2025BERN08,Ceo Bernardelle,5
,2025BREM01,Gregorio Brembati,5
,2025WANG30,Emma Wang,5
