#,WCAid,Nome,Competizioni
1,2012PLAC01,Gianluca Placenti,9
2,2009PROV01,Matteo Provasi,8
,2009ROTA01,Marco Rota,8
,2012CAPP01,Gabriele Cappelletti,8
,2014MARC05,Leonardo Marchizza,8
6,2009DIMP01,Mariano D'Imperio,7
,2011ANNE01,Edoardo Annesi,7
,2012CANT02,Simone Cantarelli,7
9,2009SANT01,Simone Santarsiero,6
,2011CECC01,Miriana Cecchi,6
,2015BARB05,Antonio Barba,6
,2015PERU02,Vittorio Maria Perucatti,6
13,2007POLI01,Lorenzo Vigani Poli,5
,2009COLO03,Matteo Colombo,5
,2011TRON02,Sebastiano Tronto,5
,2013DISA01,Edoardo Disarò,5
,2013MANO03,Alessandro Manopulo,5
,2014ZONT01,Giorgio Zonta,5
,2015BOND02,Marianna Bondi,5
,2015CITT01,Marco Edoardo Cittar,5
,2015PRIN02,Andrea Princic,5
,2016LOBI01,Arcangelo Lobianco,5
23,2008CIRN01,Fabrizio Cirnigliaro,4
,2008SANT01,Andrea Santambrogio,4
,2008SIMO02,Nicolò Simone,4
,2008ZOFF01,Tommaso Zoffoli,4
,2009CIAN01,Simone Ciancotti,4
,2010BELO01,Marco Belotti,4
,2014BACC01,Gabriele Bacchieri,4
,2014BENT01,Claudio Bentivoglio,4
,2014COLI02,Gianluca Colizzi,4
,2014RAPO01,Tommaso Raposio,4
,2014SAVI02,Leonardo Savi,4
,2015ESTR03,Rafaela Estrada,4
,2015FAVA01,Alessandro Fava,4
,2015NEAN01,Omar El Neanai,4
,2015RINA01,Federico Rinalduzzi,4
,2016GAMM01,Vincenzo Maria Gammino,4
,2016TADD01,Filippo Taddei,4
,2016ZANE01,Filippo Zanetti,4
41,2008SIMO01,Riccardo Simone,3
,2009MORI05,Paolo Moriello,3
,2010SARD01,Andrea Lo Sardo,3
,2011MALA01,Sofia Malatesta,3
,2012NICO02,Alessandro Nicolì,3
,2012PICC01,Angelo Piccolella,3
,2013ANTI01,Marco Antinori,3
,2014AURE01,Lorenzo Aureli,3
,2014BENT02,Roberto Bentivoglio,3
,2014GIAN03,Giorgio Giannantoni,3
,2014GUID01,Daniele Guidoni,3
,2014MARC08,Antonio Marchizza,3
,2014MAUR06,Lorenzo Mauro,3
,2014VIGN02,Ciro Vignotto,3
,2015CHIA01,Michele Chiaravalloti,3
,2015LOPS01,Daniele Lops,3
,2015MANN02,Marco Manno,3
,2015NICO02,Lorenzo Nicotra,3
,2015SCAT01,Michele Scattola,3
,2015SLAT05,Liam Edward Slater,3
,2015SPAD01,Eugenio Spadafora,3
,2015TONO01,Andrea Tonoli,3
,2016CANC03,Samuele Cancemi,3
,2016CANO04,Rocco Barberis Canonico,3
,2016CELA01,Davide Celano,3
,2016GALE02,Francesco Galetta,3
,2016GASP01,Pietro Gasparetto,3
,2016LUNG01,Tommaso Lunghi,3
,2016PALI02,Caterina Pali,3
,2016PANN02,Daniele Panna,3
,2016PIRO01,Riccardo Pironti,3
72,2008BRAN01,Filippo Brancaleoni,2
,2009MAZZ02,Federico Mazzetto,2
,2011MINI01,Marco Minici,2
,2011VIOL01,Federico Viola,2
,2013AZZI01,Davide Azzini,2
,2013VIOL01,Valentina Violante,2
,2014FIOR01,Riccardo Fiore,2
,2014MATT05,Gabriele De Matteis,2
,2014SPAG02,Luca Spagnolo,2
,2015BIAN01,Lorenzo Bianco,2
,2015FARO01,Andrea Farolfi,2
,2015LONG06,Stefano Dalla Longa,2
,2015WANG47,Nicola Jian Wang,2
,2016BADA01,Daniil Badalato,2
,2016BALD02,Nicolas Baldassarri,2
,2016BATT04,Alberto Batti,2
,2016BATT05,Anna Battistini,2
,2016BUTT01,Attilio Buttiglione,2
,2016CAPO03,Francesco Capomassi,2
,2016CIOL01,Andrea Ciolfi,2
,2016CUFA01,Martin Cufar,2
,2016GIAN04,Mirko Giannini,2
,2016IEZZ01,Francesco Iezzi,2
,2016LAND04,Angelo Landi,2
,2016LIGU01,Francesco Liguori,2
,2016LONG17,Gabriele Dalla Longa,2
,2016MART17,Tommaso Martini,2
,2016MOCC01,Christian Moccia,2
,2016PANN01,Carmine Panna,2
,2016PAOL01,Damiano Di Paola,2
,2016PARI06,Giuseppe Parisella,2
,2016PORE01,Edoardo Porena,2
,2016RONC02,Davide Ronchi,2
,2016ROSS02,Luca Rossini,2
,2016SPAG01,Michele Spagnolo,2
,2016SPRI01,Israel Springer,2
