#,WCAid,Nome,Competizioni
1,2012CANT02,Simone Cantarelli,2
,2018TOLO01,Raffaele Tolomelli,2
3,2007POLI01,Lorenzo Vigani Poli,1
,2009COLO03,Matteo Colombo,1
,2009ROTA01,Marco Rota,1
,2012CAPP01,Gabriele Cappelletti,1
,2012NICO02,Alessandro Nicolì,1
,2014FIOR01,Riccardo Fiore,1
,2014MAUR06,Lorenzo Mauro,1
,2014MOLI04,Chiara Molinari,1
,2015BOND02,Marianna Bondi,1
,2015MANN02,Marco Manno,1
,2016BUTT01,Attilio Buttiglione,1
,2016GAMM01,Vincenzo Maria Gammino,1
,2016GASP01,Pietro Gasparetto,1
,2016PAPP02,Giuseppe Pappalardo,1
,2017BEZZ01,Giovanni Bezzetto,1
,2017BONI01,Raffaele Bonifazi,1
,2017BRAS01,Luca Brasini,1
,2017GALE01,Mattia Galentino,1
,2017GENT01,Lorenzo Gentili,1
,2017GUID01,Carolina Guidetti,1
,2017ODOR01,Francesco Odorizzi,1
,2017PATR08,Aris Patronis,1
,2018ADAM13,Davide Adamo,1
,2018ARNE04,Davide Arnesano,1
,2018CANO06,Simone Canova,1
,2018CATA01,Diego Catà,1
,2018CENT02,Giovanni Centili,1
,2018CION01,Davide Cioni,1
,2018CUSC01,Lorenzo Giovanni Cuscani,1
,2018DEZU01,Stefano Dezuanni,1
,2018EBNE02,Elias Walter Ebner,1
,2018FORL01,Nicola Forlai,1
,2018GALL13,Alessandro Galloppo,1
,2018GIOR02,Gabriele Christian Giorgi,1
,2018GUGL01,Lorenzo Guglielmi,1
,2018LOCA01,Valerio Locatelli,1
,2018LUCA07,Eduard Lucaci,1
,2018MANS06,Gabriele Mansi,1
,2018PAPP02,Andrea Pappalardo,1
,2018PASC01,Raffaele Pascazio,1
,2018PERI05,Pietro Peri,1
,2018PIAN01,Samuele Piantini,1
,2018REST04,Paolo Resta,1
,2018REZE03,João Pedro Antonucci Rezende,1
,2018RICC02,Alessandro Ricci,1
,2018RIMI01,Flavio Rimi,1
,2018TEDE01,Matteo Tedesco,1
,2019ALTI02,Andrea Altieri,1
,2019AMAT01,Giacomo Amati,1
,2019BAZZ01,Giovanni Bazzani,1
,2019BELL01,Kevin Bellocchio,1
,2019BONI01,Matteo Bonifazi,1
,2019BRAN04,Leonardo Brandolini,1
,2019CALL02,Giovanni Callegaro,1
,2019CAPP02,Sara Cappelli,1
,2019CHIA08,Andrea Chiaramello,1
,2019COLA01,Valerio Colapinto,1
,2019CRIP01,Jordan Crippa,1
,2019DELI01,Massimiana D'Elia,1
,2019EVAN07,Giulio Evangelisti,1
,2019GIAN04,Eleonora Giangrandi,1
,2019GNEC01,Gian Maria Gnecco,1
,2019LAMB04,Andrea Lambertini,1
,2019LAND04,Edoardo Landa,1
,2019MARI06,Carlo Emanuele Marino,1
,2019MATT02,Nicolò Matteucci,1
,2019MAZZ01,Nicola Mazza,1
,2019MAZZ02,Pietro Mazza,1
,2019MIOD01,Matteo Miodini,1
,2019MONT15,Alberto Monterisi,1
,2019PERR03,Claudio Perrone,1
,2019PIRO02,Diego Pirovano,1
,2019RIGO01,Mattia Rigo,1
,2019SART01,Daniel Sartori,1
,2019SERV02,Davide Servidio,1
,2020APOL01,Federico Apollaro,1
,2020BALL04,Simone Ballerini,1
,2020BUTT01,Matteo Buttazzo,1
,2020CALA01,Giuseppe Calandrino,1
,2020CHIM02,Vanessa Chimienti,1
,2020CONT03,Claudio Contardi,1
,2020DORO01,Michele Doronzo,1
,2020FORT01,Arianna Forte,1
,2020GENN01,Daniele Gennara,1
,2020GUAR01,Marco Guarasci,1
,2020IOIO01,Alessandro Ioio',1
,2020LUCI02,Gianluca De Lucia,1
,2020MANT01,Loris Mantini,1
,2020MARC01,Simone Marcellini,1
,2020MARI01,Carmine Mattia Marino,1
,2020MARI04,Ryusei Marignani,1
,2020MATT01,Fabrizio De Matteis,1
,2020MONO01,Gianluca Monopoli,1
,2020NUZZ01,Filippo Nuzzoli,1
,2020PANG02,Josuè Pangrazzi,1
,2020PASC01,Gabriele De Pascalis,1
,2020PAVO01,Tiziano Pavone,1
,2020PEGO01,Stefano Pegoraro,1
,2020PERR01,Riccardo Perrone,1
,2020PEZZ01,Giuseppe Pezzolla,1
,2020RAIN01,Lorenzo Rainò,1
,2020RICC01,Francesco Riccardi,1
,2020SANT05,Dario Santucci,1
,2020SARA01,Luca Saracino,1
,2020SCAG01,Cristian Scaglioso,1
,2020SORI01,Luca Sorice,1
,2020SURA01,Monica Suraci,1
,2020TOMA01,Fabian Tomasović,1
,2020TRAV01,Filippo Maria Travisani,1
,2020TROM01,Alessio Trombin,1
,2020ZAGO01,Mattia Zago,1
