#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2008MONT04,Andrea Egidio Monti,2013,0,0,1,1
,2009ROTA01,Marco Rota,2013,0,0,1,1
,2012ORTU01,Federico Ortu,2013,0,0,1,1
,2013MACA01,Francesco Macaluso,2013,0,0,1,1
,2012ORTU01,Federico Ortu,2014,0,0,1,1
,2013MANO03,Alessandro Manopulo,2014,0,0,1,1
,2008CIRN01,Fabrizio Cirnigliaro,2017,0,0,1,1
,2009COLO03,Matteo Colombo,2017,0,0,1,1
,2012PLAC01,Gianluca Placenti,2019,0,0,1,1
,2007POLI01,Lorenzo Vigani Poli,2021,0,0,1,1
,2009ROTA01,Marco Rota,2022,0,0,1,1
,2018ARNE04,Davide Arnesano,2022,0,0,1,1
,2009ROTA01,Marco Rota,2023,0,0,1,1
,2011TRON02,Sebastiano Tronto,2023,0,0,1,1
,2019GIAN04,Eleonora Giangrandi,2023,0,0,1,1
,2021SALE01,Sofia Saletnich,2023,0,0,1,1
,2012PICC01,Angelo Piccolella,2024,0,0,1,1
,2014BACC01,Gabriele Bacchieri,2024,0,0,1,1
,2018ARNE04,Davide Arnesano,2024,0,0,1,1
,2020GUAR01,Marco Guarasci,2024,0,0,1,1
,2022SOZI01,Carolina Sozio,2024,0,0,1,1
,2018CENT02,Giovanni Centili,2025,0,0,1,1
,2018SCAL02,Claudio Fabrizio Scalia,2025,0,0,1,1
