#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2018LOCA01,Valerio Locatelli,2024,14,4,0,18
2,2019SART01,Daniel Sartori,2023,13,10,1,24
3,2018LOCA01,Valerio Locatelli,2023,12,3,2,17
4,2018LOCA01,Valerio Locatelli,2025,11,0,1,12
5,2019SART01,Daniel Sartori,2024,10,9,4,23
6,2019SART01,Daniel Sartori,2025,8,8,2,18
7,2009MORI05,Paolo Moriello,2013,7,1,0,8
8,2009MORI05,Paolo Moriello,2012,6,2,1,9
9,2019SART01,Daniel Sartori,2022,6,1,1,8
10,2009CONT01,Giovanni Contardi,2011,5,1,0,6
,2009MORI05,Paolo Moriello,2014,5,1,0,6
12,2009CONT01,Giovanni Contardi,2010,4,1,0,5
13,2009MORI05,Paolo Moriello,2011,3,8,0,11
14,2014MAUR06,Lorenzo Mauro,2018,3,3,1,7
15,2009CONT01,Giovanni Contardi,2019,3,1,3,7
16,2009MORI05,Paolo Moriello,2015,3,1,0,4
,2013MANO03,Alessandro Manopulo,2016,3,1,0,4
,2009IOVA01,Massimiliano Iovane,2019,3,1,0,4
,2024RICC01,Riccardo Fiumefreddo,2025,3,1,0,4
20,2008SIMO01,Riccardo Simone,2015,3,0,1,4
,2021SALE01,Sofia Saletnich,2025,3,0,1,4
22,2018LOCA01,Valerio Locatelli,2022,3,0,0,3
23,2019CORO04,Giacomo Daniele Corò,2023,2,6,3,11
24,2013MANO03,Alessandro Manopulo,2014,2,5,0,7
25,2019CORO04,Giacomo Daniele Corò,2024,2,4,4,10
26,2012NICO02,Alessandro Nicolì,2025,2,3,2,7
27,2019CORO04,Giacomo Daniele Corò,2022,2,3,1,6
,2018RIMI01,Flavio Rimi,2024,2,3,1,6
29,2011BARB03,Nicola Barbaro,2015,2,3,0,5
30,2021SALE01,Sofia Saletnich,2024,2,2,4,8
31,2009IOVA01,Massimiliano Iovane,2010,2,2,2,6
32,2009CONT01,Giovanni Contardi,2014,2,2,0,4
,2013DISA01,Edoardo Disarò,2015,2,2,0,4
34,2011ANNE01,Edoardo Annesi,2016,2,1,1,4
,2014MAUR06,Lorenzo Mauro,2019,2,1,1,4
,2018LOCA01,Valerio Locatelli,2021,2,1,1,4
37,2009MORI05,Paolo Moriello,2016,2,1,0,3
,2022CERR01,Luca Cerrato,2025,2,1,0,3
39,2008SIMO01,Riccardo Simone,2013,2,0,5,7
40,2019CORO04,Giacomo Daniele Corò,2025,2,0,3,5
41,2008SIMO01,Riccardo Simone,2010,2,0,0,2
