#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009MORI05,Paolo Moriello,12,6,9,27
2,2013MANO03,Alessandro Manopulo,10,13,9,32
3,2007POLI01,Lorenzo Vigani Poli,10,11,6,27
4,2011TRON02,Sebastiano Tronto,10,3,3,16
5,2013FURL01,Mattia Furlan,9,2,2,13
6,2009IOVA01,Massimiliano Iovane,7,6,2,15
7,2008CIRN01,Fabrizio Cirnigliaro,7,5,1,13
8,2009CONT01,Giovanni Contardi,6,9,2,17
9,2009ROTA01,Marco Rota,6,5,6,17
10,2009PROV01,Matteo Provasi,6,5,3,14
11,2011BARB03,Nicola Barbaro,4,3,4,11
12,2009COLO03,Matteo Colombo,4,3,2,9
13,2008SANT01,Andrea Santambrogio,4,2,0,6
14,2011MONT02,Kevin Montano,4,0,3,7
15,2008SIMO01,Riccardo Simone,2,5,4,11
16,2008SIMO02,Nicolò Simone,2,2,3,7
17,2012MAZZ02,Matteo Mazzini,2,1,5,8
18,2011BASA01,Federico Basanese,2,0,2,4
19,2013DISA01,Edoardo Disarò,1,6,7,14
20,2009DIMP01,Mariano D'Imperio,1,4,2,7
21,2009SANT01,Simone Santarsiero,1,2,3,6
,2014BENT02,Roberto Bentivoglio,1,2,3,6
23,2012CAPP01,Gabriele Cappelletti,1,2,1,4
24,2011ANNE01,Edoardo Annesi,1,1,2,4
,2012PLAC01,Gianluca Placenti,1,1,2,4
26,2012PICC01,Angelo Piccolella,1,1,1,3
27,2011NATA02,Andrea Natale,1,1,0,2
,2013SOLI02,Alessandro Solito,1,1,0,2
29,2011VERD01,Andrew Verducci,1,0,1,2
,2014PAVE01,Andrea Pavese,1,0,1,2
31,2010BELO01,Marco Belotti,1,0,0,1
32,2009BEVA01,Stefano Bevacqua,0,5,3,8
33,2011MINI01,Marco Minici,0,3,4,7
34,2008BRAN01,Filippo Brancaleoni,0,3,2,5
35,2008ZOFF01,Tommaso Zoffoli,0,2,1,3
36,2009MANZ01,Luigi Manzo,0,2,0,2
,2011ZORZ01,Stefano Zorzi,0,2,0,2
,2014MARC05,Leonardo Marchizza,0,2,0,2
39,2012ORTU01,Federico Ortu,0,1,3,4
40,2012NICO02,Alessandro Nicolì,0,1,2,3
41,2012MONC02,Giacomo Monco,0,1,1,2
,2013MACA01,Francesco Macaluso,0,1,1,2
43,2009CIAN01,Simone Ciancotti,0,1,0,1
,2010SARD01,Andrea Lo Sardo,0,1,0,1
,2014GERL01,Federico Gerli,0,1,0,1
46,2012SIGN01,Marco Signorini,0,0,3,3
47,2013GALL03,Julian Galliano,0,0,2,2
48,2010CHAN14,Letian Mattia Chang,0,0,1,1
,2013FARC01,Diego Eustachio Farchione,0,0,1,1
,2013GUAR02,Lorenzo Guarini,0,0,1,1
,2013SPAD01,Luciano Spada,0,0,1,1
,2014CORS01,Costantino Corsi,0,0,1,1
,2014MAUR06,Lorenzo Mauro,0,0,1,1
