#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
1,2019CORO04,Giacomo Daniele Corò,2024,14,0,0,14
2,2019CORO04,Giacomo Daniele Corò,2023,9,3,3,15
3,2019SART01,Daniel Sartori,2025,7,5,5,17
4,2018RIMI01,Flavio Rimi,2024,7,1,1,9
5,2019CORO04,Giacomo Daniele Corò,2025,7,1,0,8
6,2009CONT01,Giovanni Contardi,2010,7,0,0,7
7,2013FURL01,Mattia Furlan,2015,6,0,0,6
8,2009CONT01,Giovanni Contardi,2011,5,2,0,7
9,2009CONT01,Giovanni Contardi,2019,5,1,0,6
10,2019SART01,Daniel Sartori,2024,4,9,3,16
11,2018RIMI01,Flavio Rimi,2023,4,6,1,11
12,2018RIMI01,Flavio Rimi,2025,4,3,0,7
13,2014MAUR06,Lorenzo Mauro,2018,4,1,3,8
,2012NICO02,Alessandro Nicolì,2025,4,1,3,8
15,2012NICO02,Alessandro Nicolì,2023,4,0,2,6
16,2013FURL01,Mattia Furlan,2017,4,0,0,4
17,2021MARI04,Paolo Marino,2024,3,7,5,15
18,2009MORI05,Paolo Moriello,2013,3,5,1,9
19,2021MARI04,Paolo Marino,2025,3,4,2,9
20,2009BEVA01,Stefano Bevacqua,2012,3,2,1,6
21,2009MORI05,Paolo Moriello,2012,3,1,4,8
22,2013MANO03,Alessandro Manopulo,2014,3,1,2,6
23,2016GASP01,Pietro Gasparetto,2019,3,1,1,5
24,2009BEVA01,Stefano Bevacqua,2013,3,1,0,4
,2013FURL01,Mattia Furlan,2016,3,1,0,4
26,2013MANO03,Alessandro Manopulo,2015,3,0,5,8
27,2021MARI04,Paolo Marino,2023,2,5,6,13
28,2009MORI05,Paolo Moriello,2011,2,5,1,8
29,2018LOCA01,Valerio Locatelli,2025,2,4,3,9
30,2016GASP01,Pietro Gasparetto,2018,2,3,1,6
,2022MANT03,Alberto Mantovani,2024,2,3,1,6
32,2019SART01,Daniel Sartori,2023,2,2,10,14
33,2009MORI05,Paolo Moriello,2014,2,2,2,6
34,2009CONT01,Giovanni Contardi,2014,2,2,0,4
,2009MORI05,Paolo Moriello,2015,2,2,0,4
,2009IOVA01,Massimiliano Iovane,2019,2,2,0,4
37,2012NICO02,Alessandro Nicolì,2022,2,1,2,5
38,2009BEVA01,Stefano Bevacqua,2011,2,1,0,3
,2009IOVA01,Massimiliano Iovane,2014,2,1,0,3
40,2010SARD01,Andrea Lo Sardo,2011,2,0,2,4
,2007POLI01,Lorenzo Vigani Poli,2013,2,0,2,4
,2016GAMM01,Vincenzo Maria Gammino,2024,2,0,2,4
43,2013FURL01,Mattia Furlan,2014,2,0,1,3
44,2009CONT01,Giovanni Contardi,2013,2,0,0,2
,2009MORI05,Paolo Moriello,2017,2,0,0,2
,2018CENT02,Giovanni Centili,2022,2,0,0,2
,2018CENT02,Giovanni Centili,2023,2,0,0,2
48,2020TOMA01,Fabian Tomasović,2024,1,3,7,11
49,2007POLI01,Lorenzo Vigani Poli,2011,1,3,5,9
50,2017BRAS01,Luca Brasini,2022,1,3,2,6
51,2009BEVA01,Stefano Bevacqua,2010,1,3,0,4
,2013DISA01,Edoardo Disarò,2015,1,3,0,4
53,2014MAUR06,Lorenzo Mauro,2019,1,2,2,5
,2020TOMA01,Fabian Tomasović,2025,1,2,2,5
55,2007POLI01,Lorenzo Vigani Poli,2014,1,2,1,4
,2013FURL01,Mattia Furlan,2019,1,2,1,4
,2018CENT02,Giovanni Centili,2024,1,2,1,4
58,2007POLI01,Lorenzo Vigani Poli,2012,1,2,0,3
59,2013DISA01,Edoardo Disarò,2016,1,1,2,4
60,2021SALE01,Sofia Saletnich,2024,1,1,1,3
61,2009IOVA01,Massimiliano Iovane,2009,1,1,0,2
,2009IOVA01,Massimiliano Iovane,2015,1,1,0,2
,2009MORI05,Paolo Moriello,2016,1,1,0,2
,2013MANO03,Alessandro Manopulo,2016,1,1,0,2
,2009IOVA01,Massimiliano Iovane,2018,1,1,0,2
,2021PARO01,Matteo Parodi,2025,1,1,0,2
67,2012NICO02,Alessandro Nicolì,2018,1,0,2,3
68,2009MORI05,Paolo Moriello,2010,1,0,1,2
,2008ZOFF01,Tommaso Zoffoli,2013,1,0,1,2
,2012ANON04,Anonymous,2013,1,0,1,2
,2011ANNE01,Edoardo Annesi,2016,1,0,1,2
,2011ANNE01,Edoardo Annesi,2017,1,0,1,2
,2012CANT02,Simone Cantarelli,2017,1,0,1,2
,2018RIMI01,Flavio Rimi,2022,1,0,1,2
75,2009CONT01,Giovanni Contardi,2012,1,0,0,1
,2009CONT01,Giovanni Contardi,2015,1,0,0,1
,2012NICO02,Alessandro Nicolì,2015,1,0,0,1
,2012NICO02,Alessandro Nicolì,2016,1,0,0,1
,2009IOVA01,Massimiliano Iovane,2017,1,0,0,1
,2014RAPO01,Tommaso Raposio,2017,1,0,0,1
,2007POLI01,Lorenzo Vigani Poli,2018,1,0,0,1
,2013FURL01,Mattia Furlan,2018,1,0,0,1
,2017BRAS01,Luca Brasini,2019,1,0,0,1
,2013FURL01,Mattia Furlan,2020,1,0,0,1
,2014MAUR06,Lorenzo Mauro,2020,1,0,0,1
,2013FURL01,Mattia Furlan,2021,1,0,0,1
