#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2009CONT01,Giovanni Contardi,2022,1,0,0,1
,2015FAVA01,Alessandro Fava,2022,1,0,0,1
,2022CORB03,Leonardo Corbelli,2025,1,0,0,1
90,2018LOCA01,Valerio Locatelli,2024,0,4,2,6
91,2014MAUR06,Lorenzo Mauro,2023,0,4,0,4
,2021SALE01,Sofia Saletnich,2025,0,4,0,4
93,2012NICO02,Alessandro Nicolì,2017,0,3,3,6
94,2012CANT02,Simone Cantarelli,2018,0,2,5,7
95,2012CANT02,Simone Cantarelli,2024,0,2,4,6
96,2007POLI01,Lorenzo Vigani Poli,2009,0,2,1,3
,2009BEVA01,Stefano Bevacqua,2014,0,2,1,3
,2011MINI01,Marco Minici,2014,0,2,1,3
,2012NICO02,Alessandro Nicolì,2019,0,2,1,3
100,2008SIMO01,Riccardo Simone,2013,0,2,0,2
,2009ROTA01,Marco Rota,2015,0,2,0,2
,2012NICO02,Alessandro Nicolì,2021,0,2,0,2
,2017BRAS01,Luca Brasini,2023,0,2,0,2
,2016GASP01,Pietro Gasparetto,2024,0,2,0,2
,2015PERU02,Vittorio Maria Perucatti,2025,0,2,0,2
,2017TENU01,Enrico Tenuti,2025,0,2,0,2
