#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2021MARI04,Paolo Marino,45,25,16,86
2,2016GAMM01,Vincenzo Maria Gammino,36,15,20,71
3,2018LOCA01,Valerio Locatelli,27,14,7,48
4,2019SART01,Daniel Sartori,26,33,13,72
5,2018RIMI01,Flavio Rimi,21,14,12,47
6,2018CENT02,Giovanni Centili,17,19,12,48
7,2019CORO04,Giacomo Daniele Corò,16,12,18,46
8,2022RIPO01,Riccardo Ripoldi,16,8,6,30
9,2019RIGO01,Mattia Rigo,16,5,2,23
10,2021CALZ01,Alessandro Calzoni,15,3,4,22
11,2014MAUR06,Lorenzo Mauro,13,17,13,43
12,2017DUMM01,Matteo Dummar,9,9,11,29
13,2021ZANG01,Alessandro Zangolini,7,5,8,20
14,2018RICC02,Alessandro Ricci,7,0,2,9
15,2021SALE01,Sofia Saletnich,6,12,22,40
16,2017BRAS01,Luca Brasini,6,11,7,24
17,2021PARO01,Matteo Parodi,5,8,4,17
18,2022MACC01,Evan Maccagnan,5,4,7,16
19,2022CHIA12,Ismaele Chiarella,5,4,4,13
20,2017TENU01,Enrico Tenuti,5,1,2,8
21,2019GIOR02,Marco Giordano,4,5,1,10
22,2018ARNE04,Davide Arnesano,4,4,8,16
23,2011TRON02,Sebastiano Tronto,4,4,4,12
24,2020TOMA01,Fabian Tomasović,3,12,16,31
25,2021NARB01,Dario Angelo Narbone,3,9,6,18
26,2022CHIA04,Luca Chiandotto,3,1,1,5
27,2022SCHI01,Giacomo Schiava,3,0,0,3
28,2022MANT03,Alberto Mantovani,2,11,12,25
29,2009ROTA01,Marco Rota,2,6,5,13
30,2015FAVA01,Alessandro Fava,2,6,1,9
31,2023CREA02,Christian Crea,2,3,4,9
32,2014RAPO01,Tommaso Raposio,2,3,2,7
33,2012ACHA01,Carlos Pedro Casado de Achával,2,3,0,5
34,2022COPP03,Vincenzo Coppola,2,2,1,5
35,2016PAOL01,Damiano Di Paola,2,2,0,4
36,2020GUAR01,Marco Guarasci,2,1,5,8
,2022BOLD01,Loris Boldi,2,1,5,8
38,2012CAPP01,Gabriele Cappelletti,2,0,3,5
39,2023DANT01,Michel D'Antoni,2,0,0,2
40,2021PAND01,Alessio Pandin,1,8,5,14
41,2022SOZI01,Carolina Sozio,1,3,2,6
42,2022TALA03,Valentina Trinca Talalin,1,3,1,5
43,2012NICO02,Alessandro Nicolì,1,2,9,12
44,2021ITAL02,Manfredi Italiano,1,2,3,6
,2022CHIA11,Giosuele Chiarella,1,2,3,6
46,2023PICH01,Maximilian Pichler,1,2,1,4
47,2019MAZZ01,Nicola Mazza,1,2,0,3
48,2023CARO07,Leonardo Carosio,1,1,3,5
49,2022CORO03,Giovanni Montagna Coronado,1,1,2,4
50,2014BACC01,Gabriele Bacchieri,1,1,1,3
,2022PISC01,Giovanni Pische,1,1,1,3
52,2015MANN02,Marco Manno,1,1,0,2
53,2018GALL13,Alessandro Galloppo,1,0,1,2
54,2016CANC03,Samuele Cancemi,1,0,0,1
,2018OPPI01,Leonardo Oppi,1,0,0,1
,2022FIDO01,Giulio Romano Fidora,1,0,0,1
,2023SANN03,Lorenzo Sannibale,1,0,0,1
,2023SPEN01,Raffaele Russo Spena,1,0,0,1
59,2009PROV01,Matteo Provasi,0,7,4,11
60,2012CANT02,Simone Cantarelli,0,6,8,14
61,2021MARC03,Chiara Marcucci,0,6,7,13
62,2022RANN01,Rocco Rannisi,0,4,3,7
63,2022CORB03,Leonardo Corbelli,0,3,9,12
64,2021NOVI01,Alessia Novizio,0,3,1,4
65,2016GASP01,Pietro Gasparetto,0,3,0,3
,2019MAZZ02,Pietro Mazza,0,3,0,3
67,2022FIOR04,Francesco Fiore,0,2,3,5
68,2019CRIP01,Jordan Crippa,0,2,2,4
69,2022LESC02,Sebastiano Leschiutta,0,2,1,3
,2022ROSS02,Fabio Rossi,0,2,1,3
71,2016PANN02,Daniele Panna,0,2,0,2
72,2024MESR01,Yassine Mesraoui,0,1,4,5
73,2023NICC01,Flavio Niccoli,0,1,2,3
74,2018SCAL02,Claudio Fabrizio Scalia,0,1,1,2
,2022CARU01,Gianluca Caruso,0,1,1,2
,2023AVER04,Manuel Aversano,0,1,1,2
,2023EMIL02,Matteo Emiliani,0,1,1,2
,2023GEMO02,Francesco Giuseppe Gemona,0,1,1,2
79,2017FOKI01,Alexandros Fokianos,0,1,0,1
,2018ADAM13,Davide Adamo,0,1,0,1
,2019DONA03,Yuri Donati,0,1,0,1
,2019MIRA08,Gianpaolo Miranda,0,1,0,1
,2019PAOL02,Federico De Paoli,0,1,0,1
,2020ZAGO01,Mattia Zago,0,1,0,1
85,2016FURB01,Pietro Furbatto,0,0,3,3
,2022CHIA13,Federico Chiarello,0,0,3,3
87,2012PLAC01,Gianluca Placenti,0,0,2,2
,2019VALL10,Tea Raimondi Vallesi,0,0,2,2
,2022MART13,Valerio Martinelli,0,0,2,2
90,2009COLO03,Matteo Colombo,0,0,1,1
,2012PICC01,Angelo Piccolella,0,0,1,1
,2016LONG18,Gabriele Longo,0,0,1,1
,2018CATA01,Diego Catà,0,0,1,1
,2022FUSE01,Daniele Fusella,0,0,1,1
,2022LODA01,Nicolo David Lodato,0,0,1,1
,2022MARI21,Eren Alessio Marino,0,0,1,1
,2022RIBE02,Vittorio Ribechini,0,0,1,1
,2023AMAT01,Alessandro Amato,0,0,1,1
,2023NOVI01,Enrico Noviglio,0,0,1,1
,2023PISC02,Giovanni Piscitelli,0,0,1,1
