#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2013FURL01,Mattia Furlan,31,2,8,41
2,2013DISA01,Edoardo Disarò,11,13,10,34
3,2013MANO03,Alessandro Manopulo,9,9,10,28
4,2011BARB03,Nicola Barbaro,8,6,1,15
5,2009COLO03,Matteo Colombo,8,3,3,14
6,2011TRON02,Sebastiano Tronto,7,10,3,20
7,2009ROTA01,Marco Rota,7,7,8,22
8,2009MORI05,Paolo Moriello,7,7,4,18
9,2009DIMP01,Mariano D'Imperio,6,6,3,15
10,2007POLI01,Lorenzo Vigani Poli,4,4,9,17
11,2014MARC05,Leonardo Marchizza,4,3,1,8
12,2009IOVA01,Massimiliano Iovane,4,2,1,7
13,2008SIMO01,Riccardo Simone,4,0,5,9
14,2009PROV01,Matteo Provasi,3,10,6,19
15,2012NICO02,Alessandro Nicolì,3,4,5,12
16,2008CIRN01,Fabrizio Cirnigliaro,3,3,2,8
17,2009CONT01,Giovanni Contardi,3,3,1,7
18,2012PLAC01,Gianluca Placenti,3,1,1,5
19,2011NATA02,Andrea Natale,2,2,0,4
20,2011ANNE01,Edoardo Annesi,2,1,2,5
21,2014BENT02,Roberto Bentivoglio,1,3,2,6
22,2008SIMO02,Nicolò Simone,1,1,1,3
,2014MAUR06,Lorenzo Mauro,1,1,1,3
24,2014ZONT01,Giorgio Zonta,1,1,0,2
25,2011VIOL01,Federico Viola,1,0,4,5
26,2010SARD01,Andrea Lo Sardo,1,0,1,2
,2014PIZZ02,Christian Pizzasegola,1,0,1,2
28,2008SANT01,Andrea Santambrogio,1,0,0,1
,2011MOSC01,Andrea Moscatello,1,0,0,1
30,2012CAPP01,Gabriele Cappelletti,0,5,5,10
31,2014CORS01,Costantino Corsi,0,2,1,3
32,2011MINI01,Marco Minici,0,2,0,2
33,2012SIGN01,Marco Signorini,0,1,2,3
,2014MATT05,Gabriele De Matteis,0,1,2,3
35,2008ZOFF01,Tommaso Zoffoli,0,1,0,1
,2011VERD01,Andrew Verducci,0,1,0,1
,2013GUAR02,Lorenzo Guarini,0,1,0,1
,2014BENT01,Claudio Bentivoglio,0,1,0,1
39,2012PICC01,Angelo Piccolella,0,0,2,2
40,2009TESS01,Giovanni Tessari,0,0,1,1
,2010BELO01,Marco Belotti,0,0,1,1
,2011BASA01,Federico Basanese,0,0,1,1
,2012ORTU01,Federico Ortu,0,0,1,1
,2013SPAD01,Luciano Spada,0,0,1,1
,2014AURE01,Lorenzo Aureli,0,0,1,1
,2014BORG02,Federico Borgogni,0,0,1,1
,2014BUCC01,Daniele Buccolieri,0,0,1,1
,2014HUTO01,Tommy Hu,0,0,1,1
,2014RAPO01,Tommaso Raposio,0,0,1,1
,2015FAVA01,Alessandro Fava,0,0,1,1
