#,WCAid,Nome,Competizioni
1,2016GAMM01,Vincenzo Maria Gammino,67
2,2009PROV01,Matteo Provasi,65
3,2012CANT02,Simone Cantarelli,44
4,2020TOMA01,Fabian Tomasović,33
,2021MARC03,Chiara Marcucci,33
6,2019SART01,Daniel Sartori,28
,2021MARI04,Paolo Marino,28
8,2009ROTA01,Marco Rota,24
,2021GASP01,Elisa Gasperotti,24
10,2019CRIP01,Jordan Crippa,22
11,2018LOCA01,Valerio Locatelli,21
,2022CHIA11,Giosuele Chiarella,21
13,2014RAPO01,Tommaso Raposio,20
,2019RIGO01,Mattia Rigo,20
,2022CHIA12,Ismaele Chiarella,20
16,2012CAPP01,Gabriele Cappelletti,19
17,2014BACC01,Gabriele Bacchieri,17
,2021SALE01,Sofia Saletnich,17
,2022MACC01,Evan Maccagnan,17
,2024RICC01,Riccardo Fiumefreddo,17
21,2019CORO04,Giacomo Daniele Corò,16
,2022BOLD01,Loris Boldi,16
,2022MANT03,Alberto Mantovani,16
,2022PISC01,Giovanni Pische,16
,2023SART03,Diego Sartori,16
26,2017TENU01,Enrico Tenuti,15
,2019VALL10,Tea Raimondi Vallesi,15
,2021NOVI01,Alessia Novizio,15
,2022FRAT01,Simone Dalle Fratte,15
30,2021PAND01,Alessio Pandin,14
,2023CREA02,Christian Crea,14
,2023PASS02,Alessio Passerini,14
33,2011TRON02,Sebastiano Tronto,13
,2014MAUR06,Lorenzo Mauro,13
,2016RACI03,Riccardo Raciti,13
,2017DUMM01,Matteo Dummar,13
,2018ARNE04,Davide Arnesano,13
,2021CALZ01,Alessandro Calzoni,13
,2022TALA03,Valentina Trinca Talalin,13
,2023BEDO03,Enrico Bedocchi,13
,2023EMIL02,Matteo Emiliani,13
42,2012PLAC01,Gianluca Placenti,12
,2014PRES01,Manel Prestieri,12
,2018RIMI01,Flavio Rimi,12
,2022GRAV05,Carmela Gravano,12
,2022LESC02,Sebastiano Leschiutta,12
,2022RIPO01,Riccardo Ripoldi,12
48,2017BRAS01,Luca Brasini,11
,2018CENT02,Giovanni Centili,11
,2018RICC02,Alessandro Ricci,11
,2021ZANG01,Alessandro Zangolini,11
,2022CERR01,Luca Cerrato,11
,2022CORB03,Leonardo Corbelli,11
,2022RANN01,Rocco Rannisi,11
,2022ROSS02,Fabio Rossi,11
,2023PRIS04,Thomas Prisco,11
,2024PADO01,Federico Padovani,11
58,2013TRAM03,Giovanni Tramontano,10
,2020GUAR01,Marco Guarasci,10
,2021NARB01,Dario Angelo Narbone,10
,2021PARO01,Matteo Parodi,10
,2022CAMP13,Pietro Campagnola,10
,2022CHIA13,Federico Chiarello,10
,2022DUOF01,Federica Duò,10
,2023FISS01,Andrea Fissi,10
,2023TODO04,Elio Todoverto,10
67,2008SIMO02,Nicolò Simone,9
,2017FOKI01,Alexandros Fokianos,9
,2019GIOR02,Marco Giordano,9
,2022CECC01,Christian Ceccaroni,9
,2022FIOR04,Francesco Fiore,9
,2022PRET04,Federico Preti,9
,2023ERRA01,Edoardo Erra,9
,2023POLI03,Riccardo Polignano,9
,2023SALA29,Alessandro Sala,9
,2023TRAP04,Alessandro Trapanese,9
77,2015FAVA01,Alessandro Fava,8
,2022FORT01,Mongol Forti,8
,2023AVER04,Manuel Aversano,8
,2023BARB07,Riccardo Barbiero,8
,2023BUSC02,Lorenzo Calogero Buscemi,8
,2023CARO07,Leonardo Carosio,8
,2023PICH01,Maximilian Pichler,8
,2023VALL04,Stefano Della Valle,8
,2024SASS01,Tiago Sassone,8
86,2012ACHA01,Carlos Pedro Casado de Achával,7
,2012NICO02,Alessandro Nicolì,7
,2017GUID01,Carolina Guidetti,7
,2019AMAT01,Giacomo Amati,7
,2020ZAGO01,Mattia Zago,7
,2022MAGN02,Edoardo Magno,7
,2022MART13,Valerio Martinelli,7
,2022PALM02,Francesco Palma,7
,2023BARB17,Nicolò Barbisan,7
,2023DRUS02,Lorenza Drusian,7
,2023GRAS03,Lino Nicola Grasso,7
,2023RANN01,Luca Rannisi,7
,2023SIGN01,Lorenzo Signorelli,7
,2024CERR01,Enrico Cerrato,7
,2024MESR01,Yassine Mesraoui,7
,2024PADO02,Maicol Padovani,7
