#,WCAid,Nome,Competizioni
1,2009PROV01,Matteo Provasi,14
2,2013MANO03,Alessandro Manopulo,12
3,2007POLI01,Lorenzo Vigani Poli,11
,2009COLO03,Matteo Colombo,11
5,2009ROTA01,Marco Rota,8
,2013DISA01,Edoardo Disarò,8
,2014RAPO01,Tommaso Raposio,8
8,2008SIMO02,Nicolò Simone,7
9,2009DIMP01,Mariano D'Imperio,6
,2011TRON02,Sebastiano Tronto,6
,2012CANT02,Simone Cantarelli,6
,2013FURL01,Mattia Furlan,6
,2014MARC05,Leonardo Marchizza,6
,2014VIGN02,Ciro Vignotto,6
,2014ZONT01,Giorgio Zonta,6
,2015FAVA01,Alessandro Fava,6
17,2008ZOFF01,Tommaso Zoffoli,5
,2011ANNE01,Edoardo Annesi,5
,2011BARB03,Nicola Barbaro,5
,2011BASA01,Federico Basanese,5
,2011VIOL01,Federico Viola,5
,2012PLAC01,Gianluca Placenti,5
,2014MAUR06,Lorenzo Mauro,5
24,2008CIRN01,Fabrizio Cirnigliaro,4
,2008SIMO01,Riccardo Simone,4
,2009MORI05,Paolo Moriello,4
,2011MINI01,Marco Minici,4
,2012CAPP01,Gabriele Cappelletti,4
,2013PLAC01,Chiara Placenti,4
,2014BACC01,Gabriele Bacchieri,4
,2014BENT01,Claudio Bentivoglio,4
,2014BENT02,Roberto Bentivoglio,4
,2014CASE03,Giulia Casella,4
,2014MARC08,Antonio Marchizza,4
,2014PIZZ02,Christian Pizzasegola,4
,2014SPAG02,Luca Spagnolo,4
,2015BIAN01,Lorenzo Bianco,4
,2015ESTR03,Rafaela Estrada,4
,2015MICH04,Pietro Michelangeli,4
,2015NICO02,Lorenzo Nicotra,4
,2015SCAT01,Michele Scattola,4
42,2008BRAN01,Filippo Brancaleoni,3
,2011NATA02,Andrea Natale,3
,2012ORTU01,Federico Ortu,3
,2012PICC01,Angelo Piccolella,3
,2012SILV28,Riccardo Silvestri,3
,2013ANTI01,Marco Antinori,3
,2013QUAG01,Luca Quaglia,3
,2013SPAD01,Luciano Spada,3
,2014AURE01,Lorenzo Aureli,3
,2014CIMM01,Riccardo Cimma,3
,2014CORS01,Costantino Corsi,3
,2014DILE01,Nicolò Dilettuso,3
,2014MAGR01,Andrea Magrin,3
,2014MARC02,Nani De Marchi,3
,2014MUNA01,Riccardo Munaro,3
,2014PRES01,Manel Prestieri,3
,2014TREV01,Pietro Domenico Trevisan,3
,2015BARB05,Antonio Barba,3
,2015CHIA01,Michele Chiaravalloti,3
,2015CHIA08,Fabio Chiarini,3
,2015CITT01,Marco Edoardo Cittar,3
,2015NADA01,Milo De Nadai,3
,2015NALI01,Giovanni Marconi Nalim,3
,2015TONO01,Andrea Tonoli,3
,2015WANG47,Nicola Jian Wang,3
67,2006ALBA01,Cristiano Alba,2
,2008SANT01,Andrea Santambrogio,2
,2009CIAN01,Simone Ciancotti,2
,2009GIOB01,Piermarco Giobbi,2
,2009IOVA01,Massimiliano Iovane,2
,2010SARD01,Andrea Lo Sardo,2
,2011MALA01,Sofia Malatesta,2
,2012FERR06,Davide Ferraro,2
,2012NICO02,Alessandro Nicolì,2
,2013GUAR02,Lorenzo Guarini,2
,2014ALBE02,Marco Albertazzi,2
,2014BERN12,Tiziano Bernardi,2
,2014CASE02,Alessio Casella,2
,2014GIAN03,Giorgio Giannantoni,2
,2014GUID01,Daniele Guidoni,2
,2014MATT05,Gabriele De Matteis,2
,2014SAVI02,Leonardo Savi,2
,2015BOND02,Marianna Bondi,2
,2015FARO01,Andrea Farolfi,2
,2015FERR01,Stefano Ferrari,2
,2015GARA05,Giorgio Garagnani,2
,2015PIZZ01,Federico Pizzini,2
,2015SLAT05,Liam Edward Slater,2
90,2008IAMO01,Marco Iamonte,1
,2008ROSS01,Paolo Rosson,1
,2009BEVA01,Stefano Bevacqua,1
,2009CONT01,Giovanni Contardi,1
,2009MANZ01,Luigi Manzo,1
,2009SANT01,Simone Santarsiero,1
,2009TESS01,Giovanni Tessari,1
,2010BELO01,Marco Belotti,1
,2010BONA01,Leonardo Bonaventura,1
,2010CHAN14,Letian Mattia Chang,1
,2010MAYE01,Michael Volpe Mayerle,1
,2010MAZZ01,Paolo Mazzei,1
,2010VESC01,Gianluca Veschi,1
,2011ACCO01,Giulia Accorsi,1
,2011MERL01,Davide Merli,1
,2011MOSC01,Andrea Moscatello,1
,2011VERD01,Andrew Verducci,1
,2012ALBA02,Gianluca Alba,1
,2012BONA01,Riccardo Bonanomi,1
,2012RUSS01,Carlotta Russo,1
,2012SIGN01,Marco Signorini,1
,2013AZZI01,Davide Azzini,1
,2013CADE01,Alessandro Cadei,1
,2013FARC01,Diego Eustachio Farchione,1
,2013GAND02,Roland Gandini,1
,2013GARU01,Michele Garuti,1
,2013MOND02,Felice Mondo,1
,2013MORA04,Mirko Morati,1
,2013VIOL01,Valentina Violante,1
,2013ZORL01,Lorenzo Zorloni,1
,2014BORG02,Federico Borgogni,1
,2014BUCC01,Daniele Buccolieri,1
,2014CAST15,Martino Castellana,1
,2014CAST17,Stefano Castagneto,1
,2014COLI02,Gianluca Colizzi,1
,2014COLO01,Alessio Colombo,1
,2014FIOR01,Riccardo Fiore,1
,2014GAET01,Lucia Gaetani,1
,2014GOVO01,Francesco Govoni,1
,2014HUMI01,Michael Hu,1
,2014HUTO01,Tommy Hu,1
,2014MANC04,Davide Mancarella,1
,2014MARC03,Nicolò De Marchi,1
,2014PHAM02,Francesco Pham,1
,2014PLAC01,Alice Placenti,1
,2014SALA11,Laura Sala,1
,2014SALA12,Pietro Sala,1
,2014SALE01,Alejandro Salerno,1
,2014SAMB01,Marco Sambati,1
,2014SIRC01,Luca Sirci,1
,2015ALLA02,Remo Alla,1
,2015AMAD02,Alex Amadei,1
,2015BENA01,Martin Benaduce,1
,2015BIAN03,Pietro Bianco,1
,2015BILO01,Daria Bilokon,1
,2015BORM01,Francesco Bormè,1
,2015CAMP20,Riccardo Campagna,1
,2015CIUC01,Philip Ciuca,1
,2015COVI01,Fabio Covito,1
,2015DAMO01,Greta Damo,1
,2015EVAN01,Davide Evangelista,1
,2015FINA01,Riccardo Fina,1
,2015GAGG02,Daniele Gaggiotti,1
,2015GARA04,Gabriele Garagnani,1
,2015GARG07,Jacopo Pio Gargano,1
,2015GENS01,Luca Gensini,1
,2015GRAN09,Davide Grandi,1
,2015HUJA01,Jack Hu,1
,2015LEGO01,Alessio Legori,1
,2015LONG06,Stefano Dalla Longa,1
,2015LOPS01,Daniele Lops,1
,2015MANN02,Marco Manno,1
,2015MARI06,Michele Marinucci,1
,2015NEAN01,Omar El Neanai,1
,2015NEGR04,Francesco Negriolli,1
,2015NICO01,Andrea Nicoletti,1
,2015PERU02,Vittorio Maria Perucatti,1
,2015PINT02,Emanuele Pintus,1
,2015PRIN02,Andrea Princic,1
,2015RICC02,Lorenzo Ricci,1
,2015RINA01,Federico Rinalduzzi,1
,2015ROSS01,Federico Rossa,1
,2015SPAD01,Eugenio Spadafora,1
,2015TOMB02,Camilla Tombari,1
,2015VENA02,Valerio Venanzi,1
,2015VIGN04,Carlo Vignotto,1
