#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2011NATA02,Andrea Natale,3,0,0,3
,2013FURL01,Mattia Furlan,3,0,0,3
3,2016GAMM01,Vincenzo Maria Gammino,2,3,1,6
4,2017BRAS01,Luca Brasini,2,2,0,4
5,2010VESC01,Gianluca Veschi,2,1,0,3
6,2008SIMO01,Riccardo Simone,1,1,1,3
7,2021MARI04,Paolo Marino,1,0,0,1
8,2009MORI05,Paolo Moriello,0,2,1,3
9,2007POLI01,Lorenzo Vigani Poli,0,1,3,4
10,2009CONT01,Giovanni Contardi,0,1,2,3
11,2016GASP01,Pietro Gasparetto,0,1,1,2
12,2013DISA01,Edoardo Disarò,0,1,0,1
,2015MANN02,Marco Manno,0,1,0,1
14,2014MAUR06,Lorenzo Mauro,0,0,2,2
,2022CHIA13,Federico Chiarello,0,0,2,2
16,2009ROTA01,Marco Rota,0,0,1,1
