#,WCAid,Nome,Oro,Argento,Bronzo,Totale
1,2009CONT01,Giovanni Contardi,5,1,0,6
2,2012NICO02,Alessandro Nicolì,2,2,1,5
3,2007POLI01,Lorenzo Vigani Poli,2,2,0,4
4,2019CORO04,Giacomo Daniele Corò,2,1,0,3
5,2013FURL01,Mattia Furlan,2,0,1,3
6,2009MORI05,Paolo Moriello,1,3,2,6
7,2007CHIM01,Giulio Chiminelli,1,1,1,3
,2016GASP01,Pietro Gasparetto,1,1,1,3
9,2014MAUR06,Lorenzo Mauro,1,0,0,1
10,2009IOVA01,Massimiliano Iovane,0,2,1,3
11,2009BEVA01,Stefano Bevacqua,0,1,1,2
12,2008SANT01,Andrea Santambrogio,0,1,0,1
,2017BRAS01,Luca Brasini,0,1,0,1
,2019SART01,Daniel Sartori,0,1,0,1
15,2012CANT02,Simone Cantarelli,0,0,2,2
,2018RIMI01,Flavio Rimi,0,0,2,2
17,2006BINE01,Matteo Binello,0,0,1,1
,2008ENRI01,Ivan Enrico,0,0,1,1
,2010SARD01,Andrea Lo Sardo,0,0,1,1
,2013DISA01,Edoardo Disarò,0,0,1,1
,2013MANO03,Alessandro Manopulo,0,0,1,1
