#,WCAid,Nome,Competizione,Numero,Eventi
,2013FURL01,Mattia Furlan,Ljubljana Open 2017,7,444 555 666 777 333oh clock minx
,2014MATT05,Gabriele De Matteis,Apulia Open 2016,7,333 222 444 555 333oh pyram skewb
,2014MAUR06,Lorenzo Mauro,Fiorano Open 2017,7,333 222 444 333bf minx pyram skewb
,2014MAUR06,Lorenzo Mauro,Italian Open 2017,7,222 333bf minx pyram skewb sq1 333mbf
,2014MAUR06,Lorenzo Mauro,Rovigo Open 2018,7,333 222 444 555 333fm clock sq1
,2014MAUR06,Lorenzo Mauro,Fiorano Open 2018,7,333 222 444 333bf minx pyram skewb
,2014MAUR06,Lorenzo Mauro,San Marino Nationals 2018,7,333 222 333bf 333oh minx pyram skewb
,2014MAUR06,Lorenzo Mauro,Turin Winter Open 2019,7,333 444 555 333bf 333oh skewb sq1
,2014MAUR06,Lorenzo Mauro,Road to IC - Milano 2019,7,333 222 444 333fm 333oh minx skewb
,2014MAUR06,Lorenzo Mauro,Cubing Italy for Charity 2023,7,222 444 333fm minx pyram skewb sq1
,2014MAUR06,Lorenzo Mauro,Montemurlo Speedcubing 2023,7,222 555 666 777 333bf pyram skewb
,2014MAUR06,Lorenzo Mauro,Muggiò Summer 2024,7,222 444 333oh minx pyram skewb 333mbf
,2014MAUR06,Lorenzo Mauro,Anaunian Side Events 2025,7,333bf 333fm 333oh pyram skewb sq1 444bf
,2017BRAS01,Luca Brasini,Romagna Open 2022,7,333 444 555 666 777 333oh minx
,2017BRAS01,Luca Brasini,Montemurlo Speedcubing 2024,7,333 444 555 666 777 333oh minx
,2018CENT02,Giovanni Centili,Roma ar Cubbo 2024,7,555 666 333oh minx pyram 444bf 333mbf
,2019SART01,Daniel Sartori,Montemurlo Speedcubing 2024,7,333 222 444 555 666 777 pyram
,2021SALE01,Sofia Saletnich,Vieni a Cubare in Puglia Open 2024,7,222 555 666 333bf 333oh minx pyram
,2021SALE01,Sofia Saletnich,Salento Tarallucci e Cubing 2025,7,333 222 444 555 333oh minx pyram
,2021ZANG01,Alessandro Zangolini,Rome IC Qualifier 2025,7,222 444 666 333oh pyram skewb sq1
,2024RICC01,Riccardo Fiumefreddo,Tivat Open 2025,7,333 222 444 555 333oh minx skewb
,2024RICC01,Riccardo Fiumefreddo,Tivat Summer 2025,7,333 222 444 555 clock pyram skewb
81,2007POLI01,Lorenzo Vigani Poli,Trieste Open 2013,6,444 555 777 333bf minx 333mbf
,2009CONT01,Giovanni Contardi,LOL South Italian Open 2010,6,333 444 555 333bf minx pyram
,2009CONT01,Giovanni Contardi,Mantua Spring 2011,6,333 444 555 333oh minx pyram
,2009CONT01,Giovanni Contardi,Mantua Winter 2011,6,333 444 555 333bf 333fm 333oh
,2009CONT01,Giovanni Contardi,Italian Championship 2012,6,333 444 555 666 333oh pyram
,2009CONT01,Giovanni Contardi,Romagna Open 2019,6,333 444 555 666 333oh minx
,2009DIMP01,Mariano D'Imperio,Italian Rubik's Cube Championship 2011,6,333 222 333bf minx pyram 333mbf
,2009IOVA01,Massimiliano Iovane,Roma Winter Open 2011,6,333 222 444 555 666 333oh
