#,WCAid,Nome,Numero,Eventi
,2009COLO03,Matteo Colombo,8,444 333bf 333fm clock 444bf 555bf 333mbf 333ft
,2011BARB03,Nicola Barbaro,8,333 222 444 555 333oh minx sq1 333ft
,2015FAVA01,Alessandro Fava,8,333 222 444 333oh minx pyram skewb sq1
,2015MANN02,Marco Manno,8,222 444 555 666 777 333fm pyram skewb
,2017BRAS01,Luca Brasini,8,333 444 555 666 777 333fm 333oh minx
,2019CORO04,Giacomo Daniele Corò,8,333 222 444 555 666 333fm 333oh sq1
,2019SART01,Daniel Sartori,8,333 222 444 555 666 777 333oh pyram
,2021CALZ01,Alessandro Calzoni,8,333 444 555 333bf 333oh minx pyram skewb
46,2008SIMO01,Riccardo Simone,7,333 222 444 555 666 777 333oh
,2008ZOFF01,Tommaso Zoffoli,7,333 222 444 333bf 333oh sq1 333mbf
,2014BENT02,Roberto Bentivoglio,7,333 222 333bf 333fm skewb 444bf 333mbf
,2014MATT05,Gabriele De Matteis,7,333 222 444 555 333oh pyram skewb
,2014RAPO01,Tommaso Raposio,7,333 444 333fm 333oh clock minx skewb
,2015PERU02,Vittorio Maria Perucatti,7,333 222 444 555 666 777 333oh
,2018LOCA01,Valerio Locatelli,7,333 222 444 333bf 333oh pyram 333mbf
,2021PAND01,Alessio Pandin,7,222 666 333bf skewb 444bf 555bf 333mbf
,2022CORB03,Leonardo Corbelli,7,333 222 444 555 333oh pyram skewb
55,2008SIMO02,Nicolò Simone,6,222 333bf 333fm sq1 magic mmagic
,2009LEVR01,Marco Levrero,6,333 333bf 333fm 333oh 333mbf magic
,2009TESS01,Giovanni Tessari,6,333 222 444 555 minx pyram
,2010CHAN14,Letian Mattia Chang,6,222 444 333fm skewb magic mmagic
,2012PICC01,Angelo Piccolella,6,444 333bf 333fm minx pyram 333mbf
,2012PLAC01,Gianluca Placenti,6,333bf clock sq1 444bf 555bf 333mbf
,2019RIGO01,Mattia Rigo,6,333bf 333fm sq1 444bf 555bf 333mbf
,2020GUAR01,Marco Guarasci,6,333bf 333fm minx 444bf 555bf 333mbf
,2020TOMA01,Fabian Tomasović,6,333 222 444 333fm clock skewb
,2022MANT03,Alberto Mantovani,6,333 444 555 666 777 333oh
,2022RIPO01,Riccardo Ripoldi,6,333bf clock sq1 444bf 555bf 333mbf
,2023EMIL02,Matteo Emiliani,6,222 444 555 666 777 sq1
67,2008CIRN01,Fabrizio Cirnigliaro,5,333bf 444bf 555bf 333mbf magic
,2009LUNA01,Luigi Lunardon,5,333fm 333oh minx pyram sq1
,2009MANZ01,Luigi Manzo,5,222 444 555 pyram magic
,2010PAUL02,Cesare Paulin,5,333bf sq1 333mbf 333ft mmagic
,2011ANNE01,Edoardo Annesi,5,333 222 444 333oh pyram
,2011MINI01,Marco Minici,5,444 555 777 pyram skewb
,2012ANON04,Anonymous,5,333 444 minx sq1 magic
,2012MAZZ02,Matteo Mazzini,5,333 333fm minx pyram 333ft
,2016CANC03,Samuele Cancemi,5,333 222 555 333oh pyram
,2016GASP01,Pietro Gasparetto,5,444 555 666 777 333fm
,2017PIER03,Davide Pierrat,5,333 222 333oh skewb sq1
,2018SCAL02,Claudio Fabrizio Scalia,5,333 333bf 444bf 555bf 333mbf
,2021ITAL02,Manfredi Italiano,5,333 222 333fm 333oh skewb
,2021MARC03,Chiara Marcucci,5,333bf 333fm minx skewb sq1
,2022LODA01,Nicolo David Lodato,5,333 444 333bf 444bf 555bf
,2022SOZI01,Carolina Sozio,5,333bf minx skewb 444bf 333mbf
,2023CREA02,Christian Crea,5,333 222 333oh pyram skewb
,2023DANT01,Michel D'Antoni,5,222 333bf 333oh minx 333mbf
85,2008MONT04,Andrea Egidio Monti,4,333bf 333fm 444bf 333mbf
,2009CAIM01,Danilo Caimano,4,333 333oh 333mbf 333ft
,2010BELO01,Marco Belotti,4,333bf 333fm minx 333mbf
,2010GIRO01,Paolo Girotti,4,777 333bf sq1 magic
,2011GALA01,Filippo Galasso,4,222 333bf 333mbf 333ft
,2012ACHA01,Carlos Pedro Casado de Achával,4,555 333bf 444bf 555bf
,2012SIGN01,Marco Signorini,4,333 555 777 333bf
,2014BACC01,Gabriele Bacchieri,4,333bf 444bf 555bf 333mbf
,2015CITT01,Marco Edoardo Cittar,4,333bf 444bf 555bf 333mbf
,2017GALE01,Mattia Galentino,4,333 222 444 333oh
,2018RICC02,Alessandro Ricci,4,333 222 333oh sq1
,2019CRIP01,Jordan Crippa,4,222 333bf 333oh pyram
,2022CHIA04,Luca Chiandotto,4,333bf 444bf 555bf 333mbf
,2022RANN01,Rocco Rannisi,4,333oh minx pyram skewb
,2022SCHI01,Giacomo Schiava,4,333bf 444bf 555bf 333mbf
,2023CARO07,Leonardo Carosio,4,333 222 clock sq1
,2023NICC01,Flavio Niccoli,4,222 clock pyram skewb
,2023PISC02,Giovanni Piscitelli,4,333 222 444 skewb
,2024RUSS02,Gabriel La Russa,4,333 222 pyram skewb
