#,WCAid,Nome,Numero,Eventi
,2009LUNA01,Luigi Lunardon,1,minx
,2009MASI01,Federico Masilunas,1,pyram
,2010FRAN04,Mattia Francardi,1,777
,2010GAMB01,Gabriele Gambino,1,pyram
,2010GIRO01,Paolo Girotti,1,sq1
,2010VESC01,Gianluca Veschi,1,777
,2011BASA01,Federico Basanese,1,333
,2011MOSC01,Andrea Moscatello,1,sq1
,2011NATA02,Andrea Natale,1,777
,2011VERD01,Andrew Verducci,1,333
,2011VIOL01,Federico Viola,1,333bf
,2011ZORZ01,Stefano Zorzi,1,333
,2012ANON04,Anonymous,1,444
,2012BERE01,Andrea Beretta,1,pyram
,2012MAZZ02,Matteo Mazzini,1,pyram
,2012PICC01,Angelo Piccolella,1,pyram
,2013GALL03,Julian Galliano,1,333bf
,2013SOLI02,Alessandro Solito,1,333bf
,2013ZACC01,Giorgio Zaccaria,1,333bf
,2014MARC05,Leonardo Marchizza,1,pyram
,2014PAVE01,Andrea Pavese,1,333bf
,2014PIZZ02,Christian Pizzasegola,1,skewb
,2014ZONT01,Giorgio Zonta,1,333oh
,2015BOND02,Marianna Bondi,1,skewb
,2015CHIA01,Michele Chiaravalloti,1,pyram
,2015PERU02,Vittorio Maria Perucatti,1,555
,2015PRIN02,Andrea Princic,1,222
,2016IEZZ01,Francesco Iezzi,1,clock
,2016PANN02,Daniele Panna,1,333bf
,2016SPED01,Gabriele Spedicato,1,333fm
,2017FOKI01,Alexandros Fokianos,1,333fm
,2017MAMB01,Giacomo Mambrini,1,clock
,2017PIER03,Davide Pierrat,1,222
,2017SANN01,Valerio Sannito,1,222
,2018BUZZ01,Gabriele Buzzi,1,sq1
,2018GALL13,Alessandro Galloppo,1,pyram
,2018OPPI01,Leonardo Oppi,1,222
,2018RICC02,Alessandro Ricci,1,sq1
,2019CAMI03,Davide Camilleri,1,333
,2019COLA01,Valerio Colapinto,1,skewb
,2019DONA03,Yuri Donati,1,pyram
,2019MAZZ01,Nicola Mazza,1,222
,2019MAZZ02,Pietro Mazza,1,sq1
,2019PAOL02,Federico De Paoli,1,333bf
,2019VALL10,Tea Raimondi Vallesi,1,minx
,2021MAGG02,Matteo Maggiali,1,pyram
,2021MARC03,Chiara Marcucci,1,333fm
,2021NOVI01,Alessia Novizio,1,clock
,2021PIUM01,Fabio Piumatti,1,minx
,2022BOLD01,Loris Boldi,1,pyram
,2022CAPA01,Rocco Daniele Capanna,1,pyram
,2022CARU01,Gianluca Caruso,1,pyram
,2022CERR01,Luca Cerrato,1,333
,2022CHIA11,Giosuele Chiarella,1,pyram
,2022CHIA13,Federico Chiarello,1,777
,2022COPP03,Vincenzo Coppola,1,sq1
,2022CORO03,Giovanni Montagna Coronado,1,clock
,2022FIDO01,Giulio Romano Fidora,1,clock
,2022FIOR04,Francesco Fiore,1,sq1
,2022LESC02,Sebastiano Leschiutta,1,222
,2022PISC01,Giovanni Pische,1,sq1
,2022ROSS02,Fabio Rossi,1,222
,2022TALA03,Valentina Trinca Talalin,1,333oh
,2023BARB17,Nicolò Barbisan,1,clock
,2023BUSC02,Lorenzo Calogero Buscemi,1,clock
,2023CARO07,Leonardo Carosio,1,222
,2023PISC02,Giovanni Piscitelli,1,222
,2023POLI03,Riccardo Polignano,1,pyram
,2023SANN03,Lorenzo Sannibale,1,skewb
,2023SPEN01,Raffaele Russo Spena,1,333bf
,2024MESR01,Yassine Mesraoui,1,333bf
,2024RUSS02,Gabriel La Russa,1,skewb
,2024SIME01,Antonello Simeone,1,pyram
,2025CHIA03,Aidan Chiari,1,333bf
