#,WCAid,Nome,Competizione,Numero,Eventi
,2019SART01,Daniel Sartori,Montemurlo Speedcubing 2024,3,333 444 555
,2019SART01,Daniel Sartori,Ivrea: Back to Square One 2024,3,333 444 555
,2019SART01,Daniel Sartori,Montemurlo Speedcubing 2025,3,333 444 555
,2019SART01,Daniel Sartori,Rome Spring Open 2025,3,555 666 777
,2019SART01,Daniel Sartori,Eretum III 2025,3,333 444 555
,2021CALZ01,Alessandro Calzoni,Anaunian Side Events 2025,3,333oh minx skewb
,2021MARI04,Paolo Marino,Vigevano Squared 2024,3,666 777 clock
,2021MARI04,Paolo Marino,Ticino: Back to One Handed 2024,3,555 666 777
,2021MARI04,Paolo Marino,Val di NxN: Nocturnal Edition 2024,3,555 666 777
,2021MARI04,Paolo Marino,Valsugana New Year 2025,3,555 666 clock
,2021MARI04,Paolo Marino,Casorezzo Winter Open 2025,3,555 clock pyram
,2021MARI04,Paolo Marino,Trentatré Trentini Entrarono a Trento 2025,3,555 666 clock
,2021MARI04,Paolo Marino,Munich Open 2025,3,444 clock pyram
,2021MARI04,Paolo Marino,Hungarian Open 2025,3,666 777 clock
,2021PARO01,Matteo Parodi,Sicily Winter 2025,3,222 444 clock
,2021SALE01,Sofia Saletnich,GiocAosta Cube Open 2024,3,333 444 333oh
,2022CORB03,Leonardo Corbelli,Cubate Sotto 2025,3,333 222 444
,2022RIPO01,Riccardo Ripoldi,Barby Cube 2024,3,444bf 555bf 333mbf
,2022RIPO01,Riccardo Ripoldi,Gallarate Mental Breakdown 2024,3,444bf 555bf 333mbf
,2022RIPO01,Riccardo Ripoldi,Rubik's Italian Championship 2024,3,clock 444bf 555bf
,2022RIPO01,Riccardo Ripoldi,Cubos in Vençon 2025,3,333bf 444bf 555bf
,2024RICC01,Riccardo Fiumefreddo,Romandie Rookies 2025,3,333 222 pyram
,2024RICC01,Riccardo Fiumefreddo,Ponte Tresamateurs 2025,3,333 222 pyram
,2024RICC01,Riccardo Fiumefreddo,Tivat Summer 2025,3,222 pyram skewb
